chemical_id,id,ingredient_name,description,rating_score,category_id,functions
130,172,AMMONIUM ACRYLOYLDIMTAURATE/VP COPOLYMER,"nó là một trong những thành phần chính được sử dụng trong sản phẩm tạo kiểu tóc để giữ nếp tóc. Khi dùng lượng nhỏ trong sản phẩm chăm sóc da, nó sẽ để lại một lớp màng vô hình trên da được coi là giữ nước cho da. Nó có thể kích ứng da đối với một số cá nhân.",4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
131,173,AMMONIUM COCOYL ISETHIONATE,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
132,174,AMMONIUM GLYCYRRHIZATE,Dạng tổng hợp của axit glycolic được sử dụng như chất điều chỉnh pH và tẩy tế bào chết.,5.0,[116],TẨY DA CHẾT
133,175,AMMONIUM GLYCYRRHIZINATE,Dạng tổng hợp của axit glycolic được sử dụng như chất điều chỉnh pH và tẩy tế bào chết.,5.0,[116],TẨY DA CHẾT
134,176,AMMONIUM LACTATE,"Axit glycolic và axit lactic tự nhiên xảy ra axit hữu cơ còn được gọi là axit alpha hydroxy hoặc AHA. Các muối của axit Glycolic (Ammonium Glycolate, Sodium Glycolate), các muối của axit Lactic (Ammonium Lactate, Calcium Lactate, Potassiu Lactate, Sodium Lactate, TEA-Lactate) và các este của axit lactic (Methyl Lactate, Ethyl Lactate, Butyl Lactate , Lauryl Lactate, Myristyl Lactate, Cetyl Lactate) cũng có thể được sử dụng trong mỹ phẩm và các sản phẩm chăm sóc cá nhân. Trong mỹ phẩm và các sản phẩm chăm sóc cá nhân, các thành phần này được sử dụng trong công thức sản phẩm dưỡng ẩm, các sản phẩm làm sạch và các sản phẩm chăm sóc da khác, cũng như trang điểm, dầu gội đầu, thuốc nhuộm tóc và màu sắc và các sản phẩm chăm sóc tóc khác, được an toàn để sử dụng trong mỹ phẩm và sản phẩm chăm sóc cá nhân ở nồng độ 10% hoặc ít hơn",5.0,"[116, 121, 132]","TẨY DA CHẾT, CHẤT DƯỠNG ẨM, CHẤT DƯỠNG DA"
135,177,AMMONIUM POLYACRYLATE,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
141,183,ANACYCLUS PYRETHRUM,có thể gây vấn đề cho da; sự an toàn của chất này khi dùng trong mỹ phẩm vẫn còn mập mờ.,1.0,[124],CHIẾT XUẤT THỰC VẬT
141,184,PELLITORY,có thể gây vấn đề cho da; sự an toàn của chất này khi dùng trong mỹ phẩm vẫn còn mập mờ.,1.0,[124],CHIẾT XUẤT THỰC VẬT
114,4024,ALTHAEA ROSEA, Có thể được sử dụng như một chất tăng cường kết cấu trong mỹ phẩm và có khả năng làm dịu da .  ,4.0,"[113, 115, 124]","TẠO KẾT CẤU SẢN PHẨM, CHẤT LÀM DỊU DA, CHIẾT XUẤT THỰC VẬT"
52,73,1 DIMETHICONE,"Dimethicone được sử dụng trong rất nhiều công thức mỹ phẩm và các sản phẩm chăm sóc cá nhân bao gồm lotion và kem dưỡng da, xà phòng tắm, dầu gội đầu và các sản phẩm chăm sóc tóc, công dụng chủ yếu là: Chất chống tạo bọt, chất dưỡng tóc, bảo vệ da. Các loại silicone được sử dụng trong mỹ phẩm được ủng hộ bởi nghiên cứu khoa học và được xem là an toàn cho người tiêu dùng sử dụng. Những loại silicone hóa mỹ phẩm này là những thành phần hiệu quả, trơ và linh hoạt có lợi cho da và tóc theo nhiều cách.",4.0,Pending,CHƯA PHÂN LOẠI
53,74,"1, 2-HEXANEDIOL","Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4.0,[129],CHẤT BẢO QUẢN
53,75,"DL-HEXANE-1,2-DIOL","Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4.0,[129],CHẤT BẢO QUẢN
53,76,"1,2-DIHYDROXYHEXANE","Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4.0,[129],CHẤT BẢO QUẢN
55,78,"1,2-HEXANEDICOL","Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4.0,[129],CHẤT BẢO QUẢN
56,79,"1,2-HEXANEDOIL","Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4.0,[129],CHẤT BẢO QUẢN
57,80,1-METHYLHYDANTOIN-2-IMIDE,None,4.0,"[128, 132]","HỖN HỢP, CHẤT DƯỠNG DA"
58,81,10-HYDROXYDECANOIC ACID,"Axit 10-Hydroxydecanic là một axit béo bão hòa chuyên biệt, thành phần nhỏ của sữa ong chúa. Phát hiện vào năm 1957. Đây là thành phần tổng hợp có chức năng như là một chất dưỡng da và khóa ẩm.",4.0,[121],CHẤT DƯỠNG ẨM
58,82,10-HYDROXYCAPRIC ACID,"Axit 10-Hydroxydecanic là một axit béo bão hòa chuyên biệt, thành phần nhỏ của sữa ong chúa. Phát hiện vào năm 1957. Đây là thành phần tổng hợp có chức năng như là một chất dưỡng da và khóa ẩm.",4.0,[121],CHẤT DƯỠNG ẨM
58,83,ROYAL JELLY ACID,"Axit 10-Hydroxydecanic là một axit béo bão hòa chuyên biệt, thành phần nhỏ của sữa ong chúa. Phát hiện vào năm 1957. Đây là thành phần tổng hợp có chức năng như là một chất dưỡng da và khóa ẩm.",4.0,[121],CHẤT DƯỠNG ẨM
59,84,15 CROSSPOLYMER,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
60,85,18 DIMETHICONE,PEG là viết tắt của polyethylene glycol; PPG là viết tắt của polypropylene glycol.,4.0,"[120, 121]","LÀM SẠCH DA, CHẤT DƯỠNG ẨM"
61,86,2-HEXANEDIOL,"Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4.0,[129],CHẤT BẢO QUẢN
62,87,2-METHYL-2H-ISOTHIAZOLIN-3-ONE,Methylchloroisothiazolinone là chất bảo quản được sử dụng rộng rãi; đã được liên kết với các phản ứng dị ứng,4.0,[129],CHẤT BẢO QUẢN
64,89,AGE,"Advanced glycation endproducts, còn được gọi là AGEs, được tạp ra từ nguồn nhiên liệu chủ yếu của cơ thể, cụ thể là glucose. Đường đơn này là cần thiết cho năng lượng cơ thể, tuy nhiên nó cũng có thể bám chặt với protein và hình thành các cấu trúc bất thường ( AGEs) mà dần dần làm hỏng sự ổn định của bề mặt da. Glucose chính nó là không gây ra tổn hại, nhưng tổn hại sẽ xảy ra khi glucose biến thành AGEs gây ra vấn đề. Đường tinh luyện từ chế độ ăn của chúng ta là một nguồn cung cấp AGEs chính, và càng nhiều nghiên cứu cho thấy một chế độ ăn uống nhiều đường làm cho cơ thể lão hóa nhanh hơn.$1AGEs và tổn hại da do môi trường có thể là mối liên kết không thể tách rời, nhưng khi nói đến việc thoa các chất này trong mỹ phẩm lên da, 2 điều này không liên quan với nhau.$1Có thể trong tương lai các sản phẩm chăm sóc da sẽ được bào chế với các thành phần được chứng minh có ảnh hưởng đến sự hình thành AGEs khi thoa lên da. Bây giờ, chế độ ăn ít đường giàu chất chống oxy hoá và nhiều thành phần là cách chống lão hóa tốt nhất.",1.0,[128],HỖN HỢP
64,90,ADVANCED GLYCATION ENDPRODUCT,"Advanced glycation endproducts, còn được gọi là AGEs, được tạp ra từ nguồn nhiên liệu chủ yếu của cơ thể, cụ thể là glucose. Đường đơn này là cần thiết cho năng lượng cơ thể, tuy nhiên nó cũng có thể bám chặt với protein và hình thành các cấu trúc bất thường ( AGEs) mà dần dần làm hỏng sự ổn định của bề mặt da. Glucose chính nó là không gây ra tổn hại, nhưng tổn hại sẽ xảy ra khi glucose biến thành AGEs gây ra vấn đề. Đường tinh luyện từ chế độ ăn của chúng ta là một nguồn cung cấp AGEs chính, và càng nhiều nghiên cứu cho thấy một chế độ ăn uống nhiều đường làm cho cơ thể lão hóa nhanh hơn.$1AGEs và tổn hại da do môi trường có thể là mối liên kết không thể tách rời, nhưng khi nói đến việc thoa các chất này trong mỹ phẩm lên da, 2 điều này không liên quan với nhau.$1Có thể trong tương lai các sản phẩm chăm sóc da sẽ được bào chế với các thành phần được chứng minh có ảnh hưởng đến sự hình thành AGEs khi thoa lên da. Bây giờ, chế độ ăn ít đường giàu chất chống oxy hoá và nhiều thành phần là cách chống lão hóa tốt nhất.",1.0,[128],HỖN HỢP
65,91,AHA,"AHA là một nhóm các hợp chất hữu cơ carboxylic.AHA sử dụng trong mỹ phẩm thường bắt nguồn từ thực phẩm bao gồm axit glycolic (từ mía), axit lactic (từ sữa chua), axit malic (từ táo), axit xitric (từ cam quýt) và axit tartaric (từ rượu nho). Chúng có trong tự nhiên và nhân tạo. AHA được sử dụng chủ yếu để làm giảm các nếp nhăn và các đường nhăn trên khuôn mặt, tẩy tế bào chết bề mặt da, cũng như thúc đẩy quá trình tái tạo tế bào, cải thiện độ đàn hồi, sự cân bằng da và sự biểu hiện của nám. AHA cũng đã được tìm thấy trong hàng loạt các sản phẩm dưỡng da như kem chống nắng, trị mụn, sản phẩm làm mềm và làm sáng da$1AHA đặc biệt hữu ích trong việc chống lại biểu hiện của lão hóa do tiếp xúc với tia cực tím. Việc sử dụng AHA giúp tăng cường khả năng điều trị làn da bị tổn thương do nắng. AHA hoạt động bằng cách tẩy da chết nhanh hơn. Khi chúng ta già đi, da chậm đổi mới. Kết quả là da ở lớp trên cùng được tiếp xúc với môi trường lâu hơn, do đó làm cho bề mặt da trông thô. Bằng cách tăng tốc độ quá trình tái tạo, da hoạt động giống như khi chúng ta còn trẻ, cho phép để lộ làn da mới rạng rỡ hơn. Lưu ý: AHA không mang lại nhiều lợi ích khi hiện diện trong các sản phẩm rửa trôi.",5.0,"[116, 141]","TẨY DA CHẾT, CHẤT LÀM SÁNG DA"
65,92,ALPHA HYDROXY ACID,"AHA là một nhóm các hợp chất hữu cơ carboxylic.AHA sử dụng trong mỹ phẩm thường bắt nguồn từ thực phẩm bao gồm axit glycolic (từ mía), axit lactic (từ sữa chua), axit malic (từ táo), axit xitric (từ cam quýt) và axit tartaric (từ rượu nho). Chúng có trong tự nhiên và nhân tạo. AHA được sử dụng chủ yếu để làm giảm các nếp nhăn và các đường nhăn trên khuôn mặt, tẩy tế bào chết bề mặt da, cũng như thúc đẩy quá trình tái tạo tế bào, cải thiện độ đàn hồi, sự cân bằng da và sự biểu hiện của nám. AHA cũng đã được tìm thấy trong hàng loạt các sản phẩm dưỡng da như kem chống nắng, trị mụn, sản phẩm làm mềm và làm sáng da$1AHA đặc biệt hữu ích trong việc chống lại biểu hiện của lão hóa do tiếp xúc với tia cực tím. Việc sử dụng AHA giúp tăng cường khả năng điều trị làn da bị tổn thương do nắng. AHA hoạt động bằng cách tẩy da chết nhanh hơn. Khi chúng ta già đi, da chậm đổi mới. Kết quả là da ở lớp trên cùng được tiếp xúc với môi trường lâu hơn, do đó làm cho bề mặt da trông thô. Bằng cách tăng tốc độ quá trình tái tạo, da hoạt động giống như khi chúng ta còn trẻ, cho phép để lộ làn da mới rạng rỡ hơn. Lưu ý: AHA không mang lại nhiều lợi ích khi hiện diện trong các sản phẩm rửa trôi.",5.0,"[116, 141]","TẨY DA CHẾT, CHẤT LÀM SÁNG DA"
67,95,ATP,Nghiên cứu cho thấy ATP có tiềm năng$1hồi phục da mạnh và làm dịu da rất tốt.,5.0,"[115, 133]","CHẤT LÀM DỊU DA, CHẤT HỒI PHỤC DA"
67,96,ADENOSINE TRIPHOSPHATE,Nghiên cứu cho thấy ATP có tiềm năng$1hồi phục da mạnh và làm dịu da rất tốt.,5.0,"[115, 133]","CHẤT LÀM DỊU DA, CHẤT HỒI PHỤC DA"
136,178,AMMONIUM POLYACRYLDIMETHYLTAURAMIDE,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
137,179,AMMONIUM POLYACRYLDIMETHYLTAURAMIDE / AMMONIUM,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
66,93,AQUA,"Là thành phần mỹ phẩm được sử dụng phổ biến, nước gần như luôn luôn được liệt kê đầu tiên trong bảng thành phần trên một nhãn nguyên liệu vì nó thường là thành phần có nồng độ cao nhất trong công thức. Nước có thể không phải là một thành phần quan trọng cho da. Chỉ cần 10% nồng độ nước trong lớp ngoài của da là cần thiết cho sự mềm mại và tính dẻo dai trong phần này của lớp biểu bì. Các nghiên cứu so sánh hàm lượng nước trong da khô so với bình thường hoặc da nhờn không tìm thấy sự khác biệt có ý nghĩa thống kê về mức độ ẩm giữa chúng. Hơn nữa, nước quá nhiều có thể là một vấn đề đối với da bởi vì nó có thể phá vỡ các chất thiết yếu trong các lớp bề mặt của da mà giữ cho nó còn nguyên vẹn, mịn màng, và trông khỏe mạnh. Ví dụ, hãy nhớ lại da ngón tay bạn bị ""móp"" khi bạn tắm quá lâu",4.0,[128],HỖN HỢP
66,94,"AMMONIUM CUMENESULFONATE, AMMONIUM XYLENESULFONATE, CALCIUM XYLENESULFONATE, POTASSIUM CUMENESULFONATE, POTASSIUM TOLUENESULFONATE, POTASSIUM XYLENESULFONATE, SODIUM CUMENESULFONATE, SODIUM TOLUENESULFONATE, SODIUM XYLENESULFONATE","Là thành phần mỹ phẩm được sử dụng phổ biến, nước gần như luôn luôn được liệt kê đầu tiên trong bảng thành phần trên một nhãn nguyên liệu vì nó thường là thành phần có nồng độ cao nhất trong công thức. Nước có thể không phải là một thành phần quan trọng cho da. Chỉ cần 10% nồng độ nước trong lớp ngoài của da là cần thiết cho sự mềm mại và tính dẻo dai trong phần này của lớp biểu bì. Các nghiên cứu so sánh hàm lượng nước trong da khô so với bình thường hoặc da nhờn không tìm thấy sự khác biệt có ý nghĩa thống kê về mức độ ẩm giữa chúng. Hơn nữa, nước quá nhiều có thể là một vấn đề đối với da bởi vì nó có thể phá vỡ các chất thiết yếu trong các lớp bề mặt của da mà giữ cho nó còn nguyên vẹn, mịn màng, và trông khỏe mạnh. Ví dụ, hãy nhớ lại da ngón tay bạn bị ""móp"" khi bạn tắm quá lâu",4.0,[128],HỖN HỢP
68,97,ACACIA FARNESIANA EXTRACT,Hương liệu chiết xuất từ loại cây keo. Không có nghiên cứu nào cho thấy chất này có lợi cho da.,1.0,[124],CHIẾT XUẤT THỰC VẬT
68,98,EXTRACT OF ACACIA FARNESIANA,Hương liệu chiết xuất từ loại cây keo. Không có nghiên cứu nào cho thấy chất này có lợi cho da.,1.0,[124],CHIẾT XUẤT THỰC VẬT
68,99,ACACIA EXTRACT,Hương liệu chiết xuất từ loại cây keo. Không có nghiên cứu nào cho thấy chất này có lợi cho da.,1.0,[124],CHIẾT XUẤT THỰC VẬT
68,100,CACIA FARNESIANA FLOWER EXTRACT,Hương liệu chiết xuất từ loại cây keo. Không có nghiên cứu nào cho thấy chất này có lợi cho da.,1.0,[124],CHIẾT XUẤT THỰC VẬT
69,101,ACER SACCHARINUM (SUGAR MAPLE) EXTRACT,"Chiết xuất Acer Saccharum (Đường Maple) là một chiết xuất của đường phong, Acer saccharinum.Chiết xuất đường Maple. Chiết xuất Acer Saccharum (Sugar Maple) hoạt động như một axit hydroxy alpha có nguồn gốc tự nhiên trong các sản phẩm chăm sóc da. Nó loại bỏ vi khuẩn và da chết tích tụ trên da, sửa chữa thiệt hại gây ra bởi các gốc tự do và ngăn ngừa nhược điểm mới và nếp nhăn hình thành.",4.0,"[118, 124, 133]","CHẤT CHỐNG OXY HÓA, CHIẾT XUẤT THỰC VẬT, CHẤT HỒI PHỤC DA"
70,102,ACER SACCHARINUM(SUGAR MAPLE) EXTRACT,"Chiết xuất Acer Saccharum (Đường Maple) là một chiết xuất của đường phong, Acer saccharinum.Chiết xuất đường Maple. Chiết xuất Acer Saccharum (Sugar Maple) hoạt động như một axit hydroxy alpha có nguồn gốc tự nhiên trong các sản phẩm chăm sóc da. Nó loại bỏ vi khuẩn và da chết tích tụ trên da, sửa chữa thiệt hại gây ra bởi các gốc tự do và ngăn ngừa nhược điểm mới và nếp nhăn hình thành.",4.0,"[118, 124, 133]","CHẤT CHỐNG OXY HÓA, CHIẾT XUẤT THỰC VẬT, CHẤT HỒI PHỤC DA"
71,103,ACETYL DIPEPTIDE-1 CETYL ESTER,Đặc tính của peptide có tính ngậm nước và khả năng phục hồi da- Acetyl Dipeptide-1 Cetyl Ester là một sản phẩm thu được bằng cách kết hợp este acetyl của tyrosine từ Dipeptide-1 (q.v.) với este cetyl của arginine từ dipeptide-1,4.0,"[128, 132]","HỖN HỢP, CHẤT DƯỠNG DA"
72,104,ACETYL HEXAPEPTIDE-1,acetyl hexapeptide-1 có tính ngậm nước và khả năng phục hồi da về mặt lý thuyết. Peptide không thể cho kết quả sánh ngang với phẩu thuật thẩm mỹ.,4.0,[133],CHẤT HỒI PHỤC DA
74,106,ACETYL TETRAPEPTIDE-9,acetyl hexapeptide-9 có tính ngậm nước và khả năng phục hồi da về mặt lý thuyết. Peptide không thể cho kết quả sánh ngang với phẩu thuật thẩm mỹ.,4.0,[133],CHẤT HỒI PHỤC DA
75,107,ACETYLATED GLYCOL STEARATE,được sử dụng làm chất dưỡng ẩm và làm dày kết cấu trong mỹ phẩm.,4.0,"[121, 137]","CHẤT DƯỠNG ẨM, CHẤT NHŨ HÓA/LÀM DẦY KẾT CẤU SẢN PHẨM"
76,108,ACHILLEA MILLEFOLIUM OIL,"Achillea millefolium, thường được gọi là yarrow, yarrow có thể làm da nổi mẩn ngứa nghiêm trọng; sử dụng lâu dài có thể làm da tăng độ nhạy cảm với ánh sáng.",1.0,"[115, 124]","CHẤT LÀM DỊU DA, CHIẾT XUẤT THỰC VẬT"
77,109,ACHILLEA MILLEFOLIUM,"Achillea millefolium, thường được gọi là yarrow, yarrow có thể làm da nổi mẩn ngứa nghiêm trọng; sử dụng lâu dài có thể làm da tăng độ nhạy cảm với ánh sáng.",1.0,"[115, 124]","CHẤT LÀM DỊU DA, CHIẾT XUẤT THỰC VẬT"
78,110,ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
79,111,ACRYLATES,"Khi thoa lên da, chúng để lại lớp màng, dính và phủ lên tóc hoặc da. lớp màng có tính ngậm nước và để lại cảm giác mịn màng trên da. Chất tạo màng có thể gây kích ứng da nhẹ, nhưng hầu như luôn phụ thuộc vào liều lượng sử dụng; nồng độ thấp không gây vấn đề.",4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
80,112,ACRYLATES CROSSPOLYMER,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
81,113,ACRYLATES CROSSPOLYMER-4,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
82,114,ACRYLATES/AMMONIUM METHACRYLATE COPOLYMER,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
