ingredient_name,link,functions,rating,discription,rating_score
ACETYL HEXAPEPTIDE-8,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-hexapeptide-8.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],goodie,"Acetyl hexapeptide-8 is a synthetically derived peptide that is used in a wide range of skincare and makeup products. Despite claims being made for acetyl hexapeptide-8 (argireline), there is a clinical study revealing that this ingredient is not even remotely as effective as dermatological procedures in reducing signs of aging. Other studies on topical use of a moisturizer containing a 10% concentration of acetyl hexapeptide-8 have shown it does not penetrate beyond the uppermost layers of skin, even after several hours. That means it cannot affect factors in the underlying layers that lead to the formation of expression lines.  On the other hand, research has shown this peptide can penetrate further into skin if specific formulary steps are followed, including the type of emulsion (a higher water content showed greater penetration). However, even then the peptide wasn’t showing results equivalent to cosmetic corrective procedures.  Still, like all peptides, acetyl hexapeptide-8 has water-binding properties and skin-restoring ability. It’s not a throwaway ingredient, but neither is it as miraculous as the manufacturer would lead you to believe. References for this information: Cutaneous and Ocular Toxicology, March 2015, pages 46-52 European Journal of Pharmaceutical Sciences, February 2015, pages 27-35 Dermatologic Therapy, September-October 2007, issue 5, pages 343-349 International Journal of Cosmetic Science, October 2002, issue 5, pages 303-310",2
ACETYL OCTAPEPTIDE-3,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-octapeptide-3.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],goodie,"Synthetic peptide that is based around octapeptide-3, a peptide complex composed of the amino acids aspartic acid, glutamic acid, glutamine, and methionine. Also known as SNAP-8, this peptide is said to improve the look of signs of aging formed from repetitive facial expressions, though there’s no independent research supporting this claim.  Even if there were independent research, the concentrations used in the company-sponsored testing to support the improvement of signs of aging was 3–10%, which is far greater than what’s typically present in skincare products. Like all peptides it has water-binding properties and theoretical skin-restoring ability. It may play a role in helping skin look younger, and can help hydrate and smooth skin.",2
ACETYL TETRAPEPTIDE-11,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-tetrapeptide-11.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],superstar,"A synthetic peptide created by the acetylation (a chemical reaction that joins a stronger substance with a weaker one) of tetrapeptide-11, which is made up of amino acids leucine, proline and tyrosine.Acetyl tetrapeptide-11 helps skin become healthier by interacting with a signaling protein in skin’s surface that addresses how it looks and feels.References for this information:Cosmetics, May 2017, ePublicationJournal of Biological Chemistry, April 2012, pages 12,204-12,216",3
ACETYL TETRAPEPTIDE-5,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-tetrapeptide-5.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],superstar,"A synthetic peptide that has calming, smoothing, hydrating, and firmness-enhancing benefits when applied to skin. Its calming properties are believed to reduce undereye puffiness due to fluid accumulation, such as from allergies (which is not the same as undereye bags that occur from fat pads beneath the skin slipping out of place).This peptide is also believed to interrupt a process in skin known as glycation, which can cause skin’s supportive elements to weaken, giving way to wrinkles and loss of firmness. Acetyl tetrapeptide-5 seems to step in and help skin maintain a smooth resilience that results in a more youthful look.References for this information:Cosmetics, May 2017, pages 2-13Clinics in Dermatology, September-October 2009, pages 485-494.",3
ACETYL TETRAPEPTIDE-9,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-tetrapeptide-9.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],superstar,"A synthetic peptide created by the acetylation (a chemical reaction that joins a stronger substance with a weaker one) of tetrapeptide-9, which is composed of the amino acids aspartic acid, glutamine, histidine and valine.Acetyl tetrapeptide-9 helps visibly restore skin’s natural support, including a specialized protein known as lumican, which helps keep skin smooth and taut.References for this information:Cosmetics, May 2017, ePublicationPLoS One, June 2013, ePublication",3
ACETYL TRIBUTYL CITRATE,https://www.paulaschoice.com/ingredient-dictionary/film-forming%2Fholding-agents/acetyl-tributyl-citrate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Film-Forming/Holding Agents'],average,"Related to citric acid and used as a plasticizer, most commonly in nail polish and nail-hardening products.",1
ACETYL TYROSINE,https://www.paulaschoice.com/ingredient-dictionary/hydration/acetyl-tyrosine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Hydration'],goodie,An amino acid complex that functions as a skin-conditioning agent. There is no research proving it has a restoring or brightening effect on skin.,2
ACHILLEA MILLEFOLIUM,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/achillea-millefolium.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",icky,,0
ACID,https://www.paulaschoice.com/ingredient-dictionary/miscellaneous/acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Miscellaneous'],average,Anything with a pH lower than 7 is considered acidic—above 7 is considered alkaline. Water has a pH of 7. Skin has an average pH of 5.5,1
ACNE SOAP,https://www.paulaschoice.com/ingredient-dictionary/cleansing-agents/acne-soap.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Cleansing Agents'],icky,"Soaps that often contain strong cleansing ingredients, they are often overly drying and sensitizing to skin.",0
ACRYLATE,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],goodie,,2
ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylates%2Fc10-30-alkyl-acrylate-crosspolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],goodie,"A synthetic ingredient used to enhance the texture of skincare and haircare products. The Cosmetic Ingredient Review has deemed it safe as it is currently used in cosmetics.Reference for this information:Cosmetic Ingredient Review Final Safety Assessment, November 2011 - http://www.cir-safety.org/sites/default/files/crossl092011final_for%20posting.pdf",2
ACRYLATES/DIMETHICONE COPOLYMER,https://www.paulaschoice.com/ingredient-dictionary/silicones/acrylates%2Fdimethicone-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Silicones', 'Texture Enhancer']",goodie,Silicone-enhanced film-forming agent. Also functions as a binding agent so products adhere better to skin.,2
ACRYLATES/STEARETH-20 METHACRYLATE COPOLYMER,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylates%2Fsteareth-20-methacrylate-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],goodie,Synthetic polymer that blends steareth-20 with one or more forms of methacrylic acid. Functions as a thickening agent.,2
ACRYLATES COPOLYMER,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylates-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],goodie,,2
ACTAEA RACEMOSA,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/actaea-racemosa.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],average,,1
ACTINIDIA CHINENSIS (KIWI FRUIT) EXTRACT,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/actinidia-chinensis-kiwi-fruit-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",superstar,"Kiwi fruit extract is an excellent source of antioxidants for skin, including vitamin C and several polyphenols. The antioxidants in kiwi can help defend skin from the visible effects of airborne pollutants. Kiwi fruit is also a good source of the carotenoid antioxidant lutein. References for this information: Plant Foods for Human Nutrition, October 2017, pages 325-334 Nutrients, August 2017, ePublication Food Technology and Biotechnology, December 2016, pages 462-467 Nutricon Hospitilaria, Supplement 4, July 2016, page 340 Current Topics in Medicinal Chemistry, Volume 11, 2011, pages 1,811-1,820",3
ADENOSINE,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/adenosine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Skin-Restoring']",superstar,"Yeast-derived ingredient that functions as a good soothing and skin-restoring agent. Adenosine has proven anti-wrinkle benefits due to its ability to energize skin’s surface so it looks smoother and younger. Naturally present throughout the body, adenosine is a beneficial ingredient all skin types can use.References for this information:Experimental Dermatology, August 2014, pages 553-554International Journal of Cosmetic Science, December 2006, pages 447-451British Journal of Pharmacology, October 2008, issue 4, pages 475-486PloS One, May 2008 (ePublication: http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0002107)",3
ADENOSINE PHOSPHATE,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/adenosine-phosphate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Restoring', 'Skin-Soothing']",superstar,"A skin-soothing and restoring ingredient that’s structurally similar to adenosine triphosphate. It’s sometimes referred to as adenosine monophosphate, or AMP. Applied to skin, AMP helps create pathways within skin’s surface that assist with energy transport. This can visibly revitalize tired-looking, stressed skin. References for this information: International Journal of Molecular Sciences, January 2017, ePublication Archives of Dermatological Research, May 2012, pages 313-317 Biomaterials, March 2006, pages 1,355-1,361",3
ADENOSINE TRIPHOSPHATE,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/adenosine-triphosphate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Skin-Restoring']",superstar,"Organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids.Research has shown that ATP appears to have strong potential as a skin-restoring ingredient and as a soothing agent.References for this information:Journal of Cutaneous Medicine and Surgery, March-April 2004, issue 2, pages 90-96",3
ADIPIC ACID/NEOPENTYL GLYCOL/TRIMELLITIC ANHYDRIDE COPOLYMER,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/adipic-acid%2Fneopentyl-glycol%2Ftrimellitic-anhydride-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],goodie,A synthetic polymer.,2
ADVANCED GLYCATION ENDPRODUCT (AGE),https://www.paulaschoice.com/ingredient-dictionary/miscellaneous/advanced-glycation-endproduct.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Miscellaneous'],icky,"Advanced glycation end-products (AGEs) are destructive substances generated in the body when we consume refined sugars and due to environmental exposure without adequate protection. But first, a bit of backstory… One of the more depressing skincare facts we can think of is how bad dietary sugar or high glycemic index foods (foods that turn to sugar almost immediately after eating them) are for almost every aspect of your skin. Chocolate cake, honey-drenched sweets, ice cream sundaes, bread pudding, and on and on (and we could go on and on) cause very bad things to happen to skin. UV light and air pollutants are attacking your skin from the outside in, and sugar is attacking it from the inside out. What’s the relationship between sugar and AGEs? Sugars quickly and strongly bind to proteins in the skin (proteins are the main building blocks of skin) forming AGEs that progressively and continually destroy many aspects of skin, especially elastin and collagen, the two substances that give skin its firmness and resilience. Once generated, AGEs begin a cascade of progressive damage that isn’t easy to stop or reverse. Research has also shown AGEs can cause abnormal melanin production that leads to the formation of brown spots and mottled skin discolorations. Another ironic acronym for this is RAGEs, meaning a receptor site for AGEs that induces unhealthy melanin production. Although sugar is certainly a major culprit in the skin-damaging creation of AGEs, so is something called the Maillard Reaction (MR). The Maillard Reaction is what happens when you cook any food and brown or blacken it with high heat. That means steaming or sautéing food without browning is far healthier for your skin and body. And chargrilling foods, especially meats, at high heat is even worse! Our apologies to those who prefer their steaks well done. While some skincare companies claim their products contain ingredients that can block AGEs from forming, that benefit hasn’t been supported anywhere in the research. In the meantime, while science is working on this insidious problem, eating a low sugar diet that’s rich in antioxidants, complex carbohydrates, and omega fatty acids is by far the best approach for younger-looking, healthy skin from the inside out (and when you put those ingredients on your skin it can help from the outside in too, it’s just not clear how much that helps control the visible effects of AGEs; however, a huge amount of research shows those ingredients to be beneficial for skin overall). What about the occasional sweet treat? Although we can’t change what eating refined sugars does to your skin (and yes, this includes so-called sugar substitutes like raw honey and agave nectar, both of which the body recognizes as simple sugars), we also realize that sweets play a role in the pleasures of eating and celebrating. The trick is to keep it in moderation, meaning an occasional, judicious indulgence rather than daily consumption of desserts, sugary sodas, and flavored coffee drinks, the latter of which can contain an alarming amount of sugars. References for this information: Journal of Agricultural Food Chemistry, February 2018, pages 1,325-1,329 Advances in Nutrition, January 2017, pages 54-62 Dermato-endocrinology, October 2017, page 9 Skin Pharmacology and Physiology, May 2016, pages 231-242 Skin Therapy Letter, November 2015, pages 1-5 Clinical Chemistry and Laboratory Medicine, January 2014, pages 169-174 Proceedings of the National Academy of Sciences, March 14, 2000, pages 2809–2813.",0
AEROCARPUS SANTALINUS,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/aerocarpus-santalinus.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",icky,,0
AESCULUS HIPPOCASTANUM,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/aesculus-hippocastanum.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",goodie,,2
AGAR,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/agar.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Emollients', 'Texture Enhancer']",goodie,,2
AGASTACHE MEXICANA (HYSSOP) FLOWER/LEAF/STEM EXTRACT,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/agastache-mexicana-hyssop-flower-leaf-stem-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",goodie,"Agastache Mexicana (also known as hyssop) is a flowering shrub native to North America that’s an edible plant with an anise-like flavor and aroma. The flower, leaf, and stem are sources of antioxidants, including hesperetin, apigenin, salvigenin, kaempferol, and quercetin. Research on this plant’s direct benefit to skin is somewhat lacking; however, its antioxidant and calming abilities means it complements the benefits of more proven antioxidants. References for this information:  Molecules, May 2014, pages 5,490–5,507 Phytochemistry Reviews, April 2014, ePublication",2
AGE,https://www.paulaschoice.com/ingredient-dictionary/miscellaneous/age.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Miscellaneous'],icky,,0
AGRIMONIA EUPATORIA LEAF EXTRACT,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/agrimonia-eupatoria-leaf-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",average,"Research shows this plant extract has antioxidant properties. Whether or not it has a benefit when applied topically is not known.
References for this information:
Journal of Ethnopharmacology, January 2005, issue 3, pages 145-150",1
AHA,https://www.paulaschoice.com/ingredient-dictionary/exfoliant/aha.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Exfoliant'],superstar,"Acronym for alpha hydroxy acid. AHAs are derived naturally from various plant sources and from milk, but 99% of the AHAs used in cosmetics are synthetically derived. In low concentrations (less than 3%), AHAs work as water-binding agents. At concentrations greater than 4% and in a base with an acid pH of 3 to 4, these ingredients can exfoliate by breaking down the substance that holds dead skin together. The most effective and well-researched AHAs are glycolic acid and lactic acid. Malic acid, citric acid, and tartaric acid may also be effective. AHAs may sensitize mucous membranes. However, AHAs have been widely used for improving signs of aging, dry skin and an uneven skin tone, all of which lead to younger-looking skin. There is a vast amount of research that substantially describes how the aging process affects skin and that demonstrates that many of the unwanted changes can be improved by topical application of AHAs, including glycolic and lactic acids. AHA use can result in increased sensitivity to the sun, though wearing a sunscreen daily eliminates this risk. Note: AHAs are of little benefit when added to rinse-off products, as their contact with skin is too brief for them to function as exfoliants or absorb into skin. References for this information: Jundishapur Journal of Natural Pharmaceutical Products, January 2012, pages 9-10 Evidence Based Complementary and Alternative Medicine, June 2011, ePublication",3
AHNFELTIA CONCINNA EXTRACT,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/ahnfeltia-concinna-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Texture Enhancer', 'Plant Extracts', 'Emollients']",goodie,,2
AHNFELTIA EXTRACT,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/ahnfeltia-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Emollients', 'Texture Enhancer', 'Plant Extracts']",goodie,,2
AHNFELTIOPSIS CONCINNA EXTRACT,https://www.paulaschoice.com/ingredient-dictionary/emollients/ahnfeltiopsis-concinna-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Antioxidants', 'Plant Extracts', 'Texture Enhancer']",goodie,"Type of red algae with calming and hydrating properties for skin. Reference for this information:International Journal of Cosmetic Dermatology, September 2012, pages 207-212",2
ALANINE,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/alanine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],goodie,,2
ALARIA ESCULENTA,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/alaria-esculenta.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Emollients', 'Plant Extracts', 'Texture Enhancer']",goodie,,2
ALBUMIN,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/albumin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],icky,"Found in egg white, and can leave a film over skin. It can constrict skin temporarily, which can make it look smoother temporarily, but it can also cause sensitivity and is not helpful for skin.",0
ALCLOXA,https://www.paulaschoice.com/ingredient-dictionary/uncategorized/alcloxa.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Uncategorized'],icky,"More technically known as aluminum chlorhydroxy allantoinate, alcloxa has constricting properties that can be sensitizing to skin.",0
ALCOHOL,https://www.paulaschoice.com/ingredient-dictionary/emollients/alcohol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Cleansing Agents']",average,"""Alcohol"" refers to a group of organic compounds with a vast range of forms and uses in cosmetics and in other types of products and solutions.  For skin, there are good alcohols and bad alcohols, corresponding to high-molecular-weight alcohols and low-molecular-weight alcohols, respectively, which can have emollient properties (cetyl alcohol) or act as detergent cleansing agents like isopropanol.  There also are benign forms, including glycols, which are used as humectants to help hydrate and deliver ingredients into skin’s uppermost layers. Alcohols with low molecular weights—the bad-for-skin kind—can be drying and sensitizing. The alcohols to be concerned about in skincare products are ethanol or ethyl alcohol, denatured alcohol, methanol, isopropyl alcohol, SD alcohol, and benzyl alcohol. The concern is when one or more of these are listed among the main ingredients; tiny amounts in an otherwise good formula aren’t a problem. In addition to being drying and sensitizing, these alcohols can disrupt skin’s surface layers. Alcohol helps ingredients like retinol and vitamin C penetrate into the skin more effectively, but it does that by breaking down the surface layers of skin—destroying the very substances that keep your skin feeling healthier and looking younger over the long term. Alcohols like SD and ""denatured"" immediately harm the skin, starting a chain reaction of damage that continues long after it has evaporated. A 2003 study published found that with regular exposure to alcohol-based products, cleansing becomes a damaging ordeal—skin is no longer able to keep water and cleansing agents from penetrating into it, thus further eroding its surface layers. It also destroyed the substances in skin that help to naturally soothe and defend it against visible effects of environmental damage. If that weren’t bad enough, exposure to alcohol causes healthy substances in skin to literally self-destruct. The research also showed that these destructive, aging effects on skin’s substances increased the longer the exposure to alcohol; that is, two days of exposure was dramatically more harmful than one day, and that is only from exposure to a 3% concentration (most skincare products with denatured alcohol contain greater amounts than that). In short, for the healthy appearance of skin at any age, avoiding products that contain high amounts of the drying, sensitizing types of alcohol is a non-negotiable skincare must. References for this information: Biochimica et Biophysica Acta, May 2012, issue 4, page 1410 Aging, March 2012, issue 3, pages 166-175 Chemical Immunology and Allergy, March 2012, pages 77-80Dermato-Endocrinology, January 2011, issue 1, pages 41-49 Journal of Occupational Medicine and Toxicology, November 2008, issue 3Experimental Dermatology, June 2008, issue 6, pages 542-551 Clinical Dermatology, September-October 2004, issue 5, pages 360-366 The Journal of Hospital Infection, December 2003, issue 4, pages 239-245 Alcohol Journal, April 2002, issue 3, pages 179-190",1
ALEURITES MOLUCCANA SEED OIL,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/aleurites-moluccana-seed-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Antioxidants']",superstar,,3
