Ingredient_name,Link,Rating,Rating_score,Irritancy,Comedogenicity,Functions,Quick_facts,Details
 Ascorbyl Isotetrapalmitate,https://incidecoder.com/ingredients/tetrahexyldecyl-ascorbate,goodie,2,,,"{'antioxidant': '/ingredient-functions/antioxidant', 'skin brightening': '/ingredient-functions/skin-brightening'}",,"['Tetrahexyldecyl Ascorbate is a stable, oil-soluble form of skincare big shot Vitamin C. If you do not know, why Vitamin C is such a big deal in skincare, click here and read all about it. We are massive vitamin C fans and have written about it in\xa0excruciating detail.', ""So now, you know that Vitamin C is great and all, but it's really unstable and gives cosmetics companies many headaches. To solve this problem they came up with vitamin C derivatives, and one of them is Tetrahexyldecyl Ascorbate (let's call it ATIP in short)."", ""It's a really promising candidate (see below), but while reading all the goodness about it in a minute, do not forget that derivatives not only have\xa0to be absorbed into the skin but also have to be\xa0converted to pure vitamin C (ascorbic acid or AA) and the efficacy of the conversion is often unknown. In addition,\xa0vitamin C's three magic properties (antioxidant, collagen booster, skin brightener) are all properly proven in-vivo (on real people), but for the derivatives, it's mostly in-vitro studies or in the\xa0case of ATIP, it's in-vitro and done by an ingredient supplier."", ""With this\xa0context in mind let's see what\xa0ATIP might be able to do. First, it is stable (if pH < 5), easy to formulate and a joy to work with for a cosmetic chemist."", ""Second, because it's oil-soluble, its skin penetration abilities seem to be great. So great in fact, that it surpasses the penetration of pure vitamin C\xa0threefold at the same concentration and it penetrates successfully into the deeper layers of the skin (that is usually important to do some anti-aging work). There is also in-vitro data showing that it converts to AA in the skin."", 'Third,\xa0ATIP seems to have all three magic abilities\xa0of pure vitamin C: it gives antioxidant protection from both UVB and UVA rays, it increases collagen synthesis (even more than AA) and it has a\xa0skin brightening effect by reducing melanogenesis by more than 80% in human melanoma cell cultures.', 'So this all sounds really great, but these are only in-vitro results at this point. We could find Tetrahexyldecyl Ascorbate mentioned only in one published\xa0in-vivo study that examined the anti-aging properties of a silicone formula containing 10% AA and 7% ATIP. The authors theorized that the 10% AA is released slowly from the silicon delivery system and probably stays in the upper layer of the skin to give antioxidant benefits, while ATIP penetrates more rapidly and deeply and gives some wrinkle-reducing benefits. The study was a small (10 patients), double-blind experiment,\xa0and the formula did show some measurable anti-aging results. However, it is hard to know how much pure vitamin C or ATIP can be thanked.', 'Bottom line: a really promising, but not well-proven vitamin C derivative that can be worth a try especially if you like experimenting (but if you like\xa0the tried and true, pure vitamin C\xa0will be your best bet).']"
 Ascorbyl Tetraisopalmitate,https://incidecoder.com/ingredients/tetrahexyldecyl-ascorbate,goodie,2,,,"{'antioxidant': '/ingredient-functions/antioxidant', 'skin brightening': '/ingredient-functions/skin-brightening'}",,"['Tetrahexyldecyl Ascorbate is a stable, oil-soluble form of skincare big shot Vitamin C. If you do not know, why Vitamin C is such a big deal in skincare, click here and read all about it. We are massive vitamin C fans and have written about it in\xa0excruciating detail.', ""So now, you know that Vitamin C is great and all, but it's really unstable and gives cosmetics companies many headaches. To solve this problem they came up with vitamin C derivatives, and one of them is Tetrahexyldecyl Ascorbate (let's call it ATIP in short)."", ""It's a really promising candidate (see below), but while reading all the goodness about it in a minute, do not forget that derivatives not only have\xa0to be absorbed into the skin but also have to be\xa0converted to pure vitamin C (ascorbic acid or AA) and the efficacy of the conversion is often unknown. In addition,\xa0vitamin C's three magic properties (antioxidant, collagen booster, skin brightener) are all properly proven in-vivo (on real people), but for the derivatives, it's mostly in-vitro studies or in the\xa0case of ATIP, it's in-vitro and done by an ingredient supplier."", ""With this\xa0context in mind let's see what\xa0ATIP might be able to do. First, it is stable (if pH < 5), easy to formulate and a joy to work with for a cosmetic chemist."", ""Second, because it's oil-soluble, its skin penetration abilities seem to be great. So great in fact, that it surpasses the penetration of pure vitamin C\xa0threefold at the same concentration and it penetrates successfully into the deeper layers of the skin (that is usually important to do some anti-aging work). There is also in-vitro data showing that it converts to AA in the skin."", 'Third,\xa0ATIP seems to have all three magic abilities\xa0of pure vitamin C: it gives antioxidant protection from both UVB and UVA rays, it increases collagen synthesis (even more than AA) and it has a\xa0skin brightening effect by reducing melanogenesis by more than 80% in human melanoma cell cultures.', 'So this all sounds really great, but these are only in-vitro results at this point. We could find Tetrahexyldecyl Ascorbate mentioned only in one published\xa0in-vivo study that examined the anti-aging properties of a silicone formula containing 10% AA and 7% ATIP. The authors theorized that the 10% AA is released slowly from the silicon delivery system and probably stays in the upper layer of the skin to give antioxidant benefits, while ATIP penetrates more rapidly and deeply and gives some wrinkle-reducing benefits. The study was a small (10 patients), double-blind experiment,\xa0and the formula did show some measurable anti-aging results. However, it is hard to know how much pure vitamin C or ATIP can be thanked.', 'Bottom line: a really promising, but not well-proven vitamin C derivative that can be worth a try especially if you like experimenting (but if you like\xa0the tried and true, pure vitamin C\xa0will be your best bet).']"
 Astragali Radix,https://incidecoder.com/ingredients/astragalus-membranaceus-root-extract,goodie,2,,,"{'antioxidant': '/ingredient-functions/antioxidant', 'emollient': '/ingredient-functions/emollient'}",,"['Astragalus Membranaceus, or\xa0Huangqi as the Chinese call it, is one of their most important medicinal herbs that is traditionally used to\xa0strengthen ""qi"", the body’s life force. It has a bunch of magic abilities including tonic, liver-protecting,\xa0immunomodulating,\xa0antihyperglycemic, anti-inflammatory, antioxidant, and antiviral properties.', 'Modern research does prove that\xa0Huangqi is a valuable medicinal herb and contains plenty of bioactive compounds such as saponins, flavonoids, and polysaccharides. As for skincare and\xa0Huangqi, it is well known and used for its\xa0general\xa0tonic\xa0and skin reinforcing properties, as well as for its anti-inflammatory and antioxidant action.', 'On top of that, we also found a manufacturer claiming that\xa0Astragalus Membranaceus Root Extract combines anti-aging and anti-blemish\xa0properties so it is especially useful for aging, acne-prone skin. In their in-vivo (made on real people) studies, 2% of liposomal\xa0Huangqi increased skin hydration, firmness, and smoothness by 20% after 14 days and decreased ""blemish-prone skin signs"" by 10-15% after 42 days.']"
 Bemotrizinol,https://incidecoder.com/ingredients/bis-ethylhexyloxyphenol-methoxyphenyl-triazine,goodie,2,,,{'sunscreen': '/ingredient-functions/sunscreen'},,"[""Its INCI\xa0name is a\xa0bit of a mouthful, but Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine is worth recognizing it as it is\xa0one of the best sunscreen agents known today. Unfortunately, it's not FDA-approved so you will not find it in sunscreens coming from the US (not because it's not good, but because\xa0US regulations make it impossible for newer sunscreen agents to get approved), but it is widely available in other parts of the world like Europe, Australia or Asia."", ""It is a\xa0broad-spectrum (covers the whole UVB and UVA range, 280-400 nm) chemical sunscreen agent with peak protections at about 310 and 345 nm and unlike older UV filters, it's very photostable. It hardly\xa0deteriorates in the presence of UV light and it's also useful in stabilizing other less stable sunscreen agents, like the famous UVA protector, avobenzone."", ""It's a new generation sunscreen agent that was specifically designed for high SPF and good UVA protection\xa0and based on a 2007 study that compared 18 sunscreen agents available in the EU it really had the best SPF protection\xa0(they used the highest concentration allowed by EU regulations from each 18 sunscreens and Trinosorb S gave an SPF 20 all by itself)."", 'It is an oil-soluble, slightly yellowish powder that is not absorbed into the skin too much. This is good news for a sunscreen agent as it needs to be on the surface of the skin to do its job properly. Regarding Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine side effects, we have good news here as well: it\xa0has a great safety profile and unlike a couple of other chemical sunscreens, Trinosorb S (and M) does not show\xa0estrogenic activity.', 'Overall, we think Trinosorb S is one of the best sunscreen options available today.', 'Are you into sunscreen agents? We have shiny explanations\xa0(along with product lists) about others as well:']"
 Bisdisulizole Disodium,https://incidecoder.com/ingredients/disodium-phenyl-dibenzimidazole-tetrasulfonate,goodie,2,,,{'sunscreen': '/ingredient-functions/sunscreen'},,"['This long-named molecule is a chemical sunscreen agent that protects the skin from the UVA II rays (320-350 nm mainly) with a peak absorbance at 335 nm. Unlike most other sunscreen filters, it is not oil, but water-soluble helping formulators to create less greasy sunscreens.', 'It also has a good safety profile with very low skin penetration and is approved up to 10% in the EU and pretty much everywhere else except for the United States (due to old and bad FDA sunscreen regulations).']"
 Bisoctrizole,https://incidecoder.com/ingredients/methylene-bis-benzotriazolyl-tetramethylbutylphenol,goodie,2,,,{'sunscreen': '/ingredient-functions/sunscreen'},,"['The long name covers a nice sunscreen agent\xa0and quite a special one at that: It\'s a ""hybrid"" sunscreen meaning it\'s half-way between physical (the ones that, at least partly, reflect the sun) and chemical agents (that absorb the rays, which most sunscreens do). \xa0It is a new generation UV filter and, just like its sister, Trinosorb S, it is not available in the US.', 'It gives nice broad-spectrum coverage (280-400 nm, meaning UVB as well as UVA protecion) with peak protection at\xa0305 nm and 360 nm and it is highly photostable. It can also help to stabilize\xa0other less stable sunscreens, like Octinoxate\xa0and is generally happy to work together with other UV-filters.', 'Its hybrid nature means that it is organic like the chemical agents, but it is neither water nor oil soluble and works as a suspension of micro fine particles. If the small particles scare you, we have good news: the safety profile of Tinosorb M is great. It is not\xa0absorbed into the skin and unlike some other chemical sunscreens, it does not show estrogenic activity.']"
 Chilean Wineberry Oil,https://incidecoder.com/ingredients/aristotelia-chilensis-oil,goodie,2,,,{'emollient': '/ingredient-functions/emollient'},,"['Maqui Berries are small, dark berries, similar to better-known blackberries, that grow natively in the\xa0temperate rainforests of Chile. The fruit is touted as a ""superfruit"" rich in antioxidant\xa0anthocyanins and other phenolics.', 'The oil\xa0is a dark green liquid that, similar to other plant oils, is loaded with unsaturated fatty acids (86%) such as nourishing oleic acid (33%) and barrier-repairing linoleic acid (46%). We could not find any other research-verified info about\xa0Maqui Oil, though some websites claim that it is rich in Vitamin E and is generally a strong antioxidant oil.']"
 China clay,https://incidecoder.com/ingredients/kaolin,goodie,2,0.0,0,"{'colorant': '/ingredient-functions/colorant', 'abrasive/scrub': '/ingredient-functions/abrasive-scrub', 'absorbent/mattifier': '/ingredient-functions/absorbent-mattifier'}",,"[""Kaolin is a type of clay\xa0or to be precise, a naturally occurring hydrous aluminum silicate. When you hear clay, you probably think of a muddy greenish-black\xa0mess, but that one is bentonite, and this one is a fine, white powder. It is so white that it's also often used, in small amounts, as a helper ingredient to give opacity and whiteness to the cosmetic formulas."", ""As a clay, it's absorbent and can suck up excess sebum and gunk from your skin, but less so than the more aggressive bentonite. As it's less absorbent, it's also less drying and gentler on the skin, so it's ideal for dry and sensitive skin types.""]"
 Chopi,https://incidecoder.com/ingredients/zanthoxylum-piperitum-fruit-extract,No rating,-1,,,"{'antioxidant': '/ingredient-functions/antioxidant', 'antimicrobial/antibacterial': '/ingredient-functions/antimicrobial-antibacterial', 'preservative': '/ingredient-functions/preservative'}",,"['If you are into\xa0Japanese cuisine, you might know this guy as Japanese pepper or Sanshō pepper that is known for its unique\xa0fresh aroma and appetite increasing spicy sensation.', ""As for the skin benefits\xa0of\xa0Zanthoxylum Piperitum,\xa0it might have antioxidant effects\xa0(with active components called hyperoside\xa0and quercitrin), but more importantly, it is an\xa0antibacterial and natural preservative\xa0agent. It is pretty common in K-Beauty products, as it's one of the three natural extracts that make up the popular Korean preservative called\xa0EURO-NApre."", 'Combined with\xa0Usnea Barbata and\xa0Pulsatilla Koreana, these three extracts are claimed to form a natural preservative system that also has anti-inflammatory effects and might help with skin conditions such as blemishes, atopic dermatitis, and dandruff.', 'On the flip side, Zanthoxylum Piperitum contains fragrant components\xa0(Limonene and Citrone), that might irritate sensitive skin.']"
 Citrus Sinensis Oil,https://incidecoder.com/ingredients/citrus-aurantium-dulcis-peel-oil,icky,0,,,{'perfuming': '/ingredient-functions/perfuming'},,"['The essential oil coming from the rind of the orange (the\xa0sweet\xa0one). In general, the main component of citrus peel oils is limonene\xa0(83-97% for sweet orange\xa0peel), a super common fragrant ingredient that makes everything smell nice (but counts as a frequent skin sensitizer).', 'Other than that, citrus peel\xa0also contains the problematic compound\xa0called furanocoumarin that makes them mildly phototoxic. Orange peel contains less of it than some other citruses (like bergamot or lime), but still, be careful\xa0with it especially if it is in a product for daytime use.']"
 Cococin,https://incidecoder.com/ingredients/cocos-nucifera-fruit-juice,goodie,2,,,"{'emollient': '/ingredient-functions/emollient', 'moisturizer/humectant': '/ingredient-functions/moisturizer-humectant'}",,"[""The freeze-dried, powder form of coconut water (also called the liquid coconut endosperm) that's claimed to be loaded with all kinds of skin-nourishing things:\xa0proteins, amino acids, sugars, vitamins, minerals and growth hormones (kinetin) that support healthy cell growth and skin hydration."", ""According to the manufacturer's\xa0double blind placebo controlled clinical study, 8 weeks of using a 1% Cococin cream increased skin elasticity by 31.1%.""]"
 Coconut Liquid Endosperm,https://incidecoder.com/ingredients/cocos-nucifera-water,goodie,2,,,{'moisturizer/humectant': '/ingredient-functions/moisturizer-humectant'},,"['Coconut Water is the liquid\xa0inside the coconut and/or the juice pressed from the coconut fruit. It is a really nice and refreshing beverage loaded with good for the body and the skin things. It is about 95% of water and the other 5% are things such as skin-moisturizing sugars, skin nourishing amino acids, minerals, vitamins and phytohormones (kinetin).', 'This adds up to coconut water being a nice moisturizing and nourishing ingredient on the skin and it is also claimed to have some antioxidant and anti-glycation properties.']"
 Colloidal Oatmeal,https://incidecoder.com/ingredients/avena-sativa-kernel-extract,goodie,2,,,"{'antioxidant': '/ingredient-functions/antioxidant', 'soothing': '/ingredient-functions/soothing', 'emollient': '/ingredient-functions/emollient', 'abrasive/scrub': '/ingredient-functions/abrasive-scrub'}",,"[""When you hear oatmeal, you probably think of breakfast, but the finely ground version of\xa0whole oat kernels, aka colloidal oatmeal, can do good things for your skin, especially if it's dry, itchy or prone to skin-rashes or\xa0eczema."", 'Oat is loaded with compounds good for the body, inside or outside, such as soothing agent beta-glucan\xa0(5%),\xa0 lipids (3-11%) including barrier repairing omega-3 and 6 fatty acids or phenolic antioxidant and anti-inflammatory agents (avenanthramides).', 'The soothing, antioxidant and skin-protecting abilities of oat are so well-established that it is an active natural ingredient covered\xa0by the FDA OTC Skin Protectant\xa0monograph in the US, meaning that colloidal\xa0oatmeal can be claimed as an active ingredient on the INCI list and Aveeno is a mass-market brand built around oat-containing products.', 'If your skin is dry, irritated, inflamed or eczema-prone, colloidal oatmeal is something to try.']"
