chemical_id,id,name,description,rating,category_id,functions
130,172,Ammonium Acryloyldimtaurate/Vp Copolymer,"nó là một trong những thành phần chính được sử dụng trong sản phẩm tạo kiểu tóc để giữ nếp tóc. Khi dùng lượng nhỏ trong sản phẩm chăm sóc da, nó sẽ để lại một lớp màng vô hình trên da được coi là giữ nước cho da. Nó có thể kích ứng da đối với một số cá nhân.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
131,173,Ammonium Cocoyl Isethionate,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
132,174,Ammonium Glycyrrhizate,Dạng tổng hợp của axit glycolic được sử dụng như chất điều chỉnh pH và tẩy tế bào chết.,5,[116],['Tẩy da chết']
133,175,Ammonium Glycyrrhizinate,Dạng tổng hợp của axit glycolic được sử dụng như chất điều chỉnh pH và tẩy tế bào chết.,5,[116],['Tẩy da chết']
134,176,Ammonium Lactate,"Axit glycolic và axit lactic tự nhiên xảy ra axit hữu cơ còn được gọi là axit alpha hydroxy hoặc AHA. Các muối của axit Glycolic (Ammonium Glycolate, Sodium Glycolate), các muối của axit Lactic (Ammonium Lactate, Calcium Lactate, Potassiu Lactate, Sodium Lactate, TEA-Lactate) và các este của axit lactic (Methyl Lactate, Ethyl Lactate, Butyl Lactate , Lauryl Lactate, Myristyl Lactate, Cetyl Lactate) cũng có thể được sử dụng trong mỹ phẩm và các sản phẩm chăm sóc cá nhân. Trong mỹ phẩm và các sản phẩm chăm sóc cá nhân, các thành phần này được sử dụng trong công thức sản phẩm dưỡng ẩm, các sản phẩm làm sạch và các sản phẩm chăm sóc da khác, cũng như trang điểm, dầu gội đầu, thuốc nhuộm tóc và màu sắc và các sản phẩm chăm sóc tóc khác, được an toàn để sử dụng trong mỹ phẩm và sản phẩm chăm sóc cá nhân ở nồng độ 10% hoặc ít hơn",5,"[116, 121, 132]","['Tẩy da chết', 'Chất dưỡng ẩm', 'Chất dưỡng da']"
135,177,Ammonium Polyacrylate,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
141,183,Anacyclus Pyrethrum,có thể gây vấn đề cho da; sự an toàn của chất này khi dùng trong mỹ phẩm vẫn còn mập mờ.,1,[124],['Chiết xuất thực vật']
141,184,Pellitory,có thể gây vấn đề cho da; sự an toàn của chất này khi dùng trong mỹ phẩm vẫn còn mập mờ.,1,[124],['Chiết xuất thực vật']
114,4024,Althaea Rosea, Có thể được sử dụng như một chất tăng cường kết cấu trong mỹ phẩm và có khả năng làm dịu da .  ,4,"[113, 115, 124]","['Tạo kết cấu sản phẩm', 'Chất làm dịu da', 'Chiết xuất thực vật']"
52,73,1 Dimethicone,"Dimethicone được sử dụng trong rất nhiều công thức mỹ phẩm và các sản phẩm chăm sóc cá nhân bao gồm lotion và kem dưỡng da, xà phòng tắm, dầu gội đầu và các sản phẩm chăm sóc tóc, công dụng chủ yếu là: Chất chống tạo bọt, chất dưỡng tóc, bảo vệ da. Các loại silicone được sử dụng trong mỹ phẩm được ủng hộ bởi nghiên cứu khoa học và được xem là an toàn cho người tiêu dùng sử dụng. Những loại silicone hóa mỹ phẩm này là những thành phần hiệu quả, trơ và linh hoạt có lợi cho da và tóc theo nhiều cách.",4,Pending,Pending
53,74,"1, 2-Hexanediol","Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4,[129],['Chất bảo quản']
53,75,"Dl-Hexane-1,2-Diol","Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4,[129],['Chất bảo quản']
53,76,"1,2-Dihydroxyhexane","Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4,[129],['Chất bảo quản']
55,78,"1,2-Hexanedicol","Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4,[129],['Chất bảo quản']
56,79,"1,2-Hexanedoil","Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4,[129],['Chất bảo quản']
57,80,1-Methylhydantoin-2-Imide,None,4,"[128, 132]","['Hỗn hợp', 'Chất dưỡng da']"
58,81,10-Hydroxydecanoic Acid,"Axit 10-Hydroxydecanic là một axit béo bão hòa chuyên biệt, thành phần nhỏ của sữa ong chúa. Phát hiện vào năm 1957. Đây là thành phần tổng hợp có chức năng như là một chất dưỡng da và khóa ẩm.",4,[121],['Chất dưỡng ẩm']
58,82,10-Hydroxycapric Acid,"Axit 10-Hydroxydecanic là một axit béo bão hòa chuyên biệt, thành phần nhỏ của sữa ong chúa. Phát hiện vào năm 1957. Đây là thành phần tổng hợp có chức năng như là một chất dưỡng da và khóa ẩm.",4,[121],['Chất dưỡng ẩm']
58,83,Royal Jelly Acid,"Axit 10-Hydroxydecanic là một axit béo bão hòa chuyên biệt, thành phần nhỏ của sữa ong chúa. Phát hiện vào năm 1957. Đây là thành phần tổng hợp có chức năng như là một chất dưỡng da và khóa ẩm.",4,[121],['Chất dưỡng ẩm']
59,84,15 Crosspolymer,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
60,85,18 Dimethicone,PEG là viết tắt của polyethylene glycol; PPG là viết tắt của polypropylene glycol.,4,"[120, 121]","['Làm sạch da', 'Chất dưỡng ẩm']"
61,86,2-Hexanediol,"Vừa là chất bảo quản tổng hợp, vừa là chất giữ ẩm. Chất này được xem là không gây kích ứng.",4,[129],['Chất bảo quản']
62,87,2-Methyl-2H-Isothiazolin-3-One,Methylchloroisothiazolinone là chất bảo quản được sử dụng rộng rãi; đã được liên kết với các phản ứng dị ứng,4,[129],['Chất bảo quản']
64,89,Age,"Advanced glycation endproducts, còn được gọi là AGEs, được tạp ra từ nguồn nhiên liệu chủ yếu của cơ thể, cụ thể là glucose. Đường đơn này là cần thiết cho năng lượng cơ thể, tuy nhiên nó cũng có thể bám chặt với protein và hình thành các cấu trúc bất thường ( AGEs) mà dần dần làm hỏng sự ổn định của bề mặt da. Glucose chính nó là không gây ra tổn hại, nhưng tổn hại sẽ xảy ra khi glucose biến thành AGEs gây ra vấn đề. Đường tinh luyện từ chế độ ăn của chúng ta là một nguồn cung cấp AGEs chính, và càng nhiều nghiên cứu cho thấy một chế độ ăn uống nhiều đường làm cho cơ thể lão hóa nhanh hơn.$1AGEs và tổn hại da do môi trường có thể là mối liên kết không thể tách rời, nhưng khi nói đến việc thoa các chất này trong mỹ phẩm lên da, 2 điều này không liên quan với nhau.$1Có thể trong tương lai các sản phẩm chăm sóc da sẽ được bào chế với các thành phần được chứng minh có ảnh hưởng đến sự hình thành AGEs khi thoa lên da. Bây giờ, chế độ ăn ít đường giàu chất chống oxy hoá và nhiều thành phần là cách chống lão hóa tốt nhất.",1,[128],['Hỗn hợp']
64,90,Advanced Glycation Endproduct,"Advanced glycation endproducts, còn được gọi là AGEs, được tạp ra từ nguồn nhiên liệu chủ yếu của cơ thể, cụ thể là glucose. Đường đơn này là cần thiết cho năng lượng cơ thể, tuy nhiên nó cũng có thể bám chặt với protein và hình thành các cấu trúc bất thường ( AGEs) mà dần dần làm hỏng sự ổn định của bề mặt da. Glucose chính nó là không gây ra tổn hại, nhưng tổn hại sẽ xảy ra khi glucose biến thành AGEs gây ra vấn đề. Đường tinh luyện từ chế độ ăn của chúng ta là một nguồn cung cấp AGEs chính, và càng nhiều nghiên cứu cho thấy một chế độ ăn uống nhiều đường làm cho cơ thể lão hóa nhanh hơn.$1AGEs và tổn hại da do môi trường có thể là mối liên kết không thể tách rời, nhưng khi nói đến việc thoa các chất này trong mỹ phẩm lên da, 2 điều này không liên quan với nhau.$1Có thể trong tương lai các sản phẩm chăm sóc da sẽ được bào chế với các thành phần được chứng minh có ảnh hưởng đến sự hình thành AGEs khi thoa lên da. Bây giờ, chế độ ăn ít đường giàu chất chống oxy hoá và nhiều thành phần là cách chống lão hóa tốt nhất.",1,[128],['Hỗn hợp']
65,91,Aha,"AHA là một nhóm các hợp chất hữu cơ carboxylic.AHA sử dụng trong mỹ phẩm thường bắt nguồn từ thực phẩm bao gồm axit glycolic (từ mía), axit lactic (từ sữa chua), axit malic (từ táo), axit xitric (từ cam quýt) và axit tartaric (từ rượu nho). Chúng có trong tự nhiên và nhân tạo. AHA được sử dụng chủ yếu để làm giảm các nếp nhăn và các đường nhăn trên khuôn mặt, tẩy tế bào chết bề mặt da, cũng như thúc đẩy quá trình tái tạo tế bào, cải thiện độ đàn hồi, sự cân bằng da và sự biểu hiện của nám. AHA cũng đã được tìm thấy trong hàng loạt các sản phẩm dưỡng da như kem chống nắng, trị mụn, sản phẩm làm mềm và làm sáng da$1AHA đặc biệt hữu ích trong việc chống lại biểu hiện của lão hóa do tiếp xúc với tia cực tím. Việc sử dụng AHA giúp tăng cường khả năng điều trị làn da bị tổn thương do nắng. AHA hoạt động bằng cách tẩy da chết nhanh hơn. Khi chúng ta già đi, da chậm đổi mới. Kết quả là da ở lớp trên cùng được tiếp xúc với môi trường lâu hơn, do đó làm cho bề mặt da trông thô. Bằng cách tăng tốc độ quá trình tái tạo, da hoạt động giống như khi chúng ta còn trẻ, cho phép để lộ làn da mới rạng rỡ hơn. Lưu ý: AHA không mang lại nhiều lợi ích khi hiện diện trong các sản phẩm rửa trôi.",5,"[116, 141]","['Tẩy da chết', 'Chất làm sáng da']"
65,92,Alpha Hydroxy Acid,"AHA là một nhóm các hợp chất hữu cơ carboxylic.AHA sử dụng trong mỹ phẩm thường bắt nguồn từ thực phẩm bao gồm axit glycolic (từ mía), axit lactic (từ sữa chua), axit malic (từ táo), axit xitric (từ cam quýt) và axit tartaric (từ rượu nho). Chúng có trong tự nhiên và nhân tạo. AHA được sử dụng chủ yếu để làm giảm các nếp nhăn và các đường nhăn trên khuôn mặt, tẩy tế bào chết bề mặt da, cũng như thúc đẩy quá trình tái tạo tế bào, cải thiện độ đàn hồi, sự cân bằng da và sự biểu hiện của nám. AHA cũng đã được tìm thấy trong hàng loạt các sản phẩm dưỡng da như kem chống nắng, trị mụn, sản phẩm làm mềm và làm sáng da$1AHA đặc biệt hữu ích trong việc chống lại biểu hiện của lão hóa do tiếp xúc với tia cực tím. Việc sử dụng AHA giúp tăng cường khả năng điều trị làn da bị tổn thương do nắng. AHA hoạt động bằng cách tẩy da chết nhanh hơn. Khi chúng ta già đi, da chậm đổi mới. Kết quả là da ở lớp trên cùng được tiếp xúc với môi trường lâu hơn, do đó làm cho bề mặt da trông thô. Bằng cách tăng tốc độ quá trình tái tạo, da hoạt động giống như khi chúng ta còn trẻ, cho phép để lộ làn da mới rạng rỡ hơn. Lưu ý: AHA không mang lại nhiều lợi ích khi hiện diện trong các sản phẩm rửa trôi.",5,"[116, 141]","['Tẩy da chết', 'Chất làm sáng da']"
67,95,Atp,Nghiên cứu cho thấy ATP có tiềm năng$1hồi phục da mạnh và làm dịu da rất tốt.,5,"[115, 133]","['Chất làm dịu da', 'Chất hồi phục da']"
67,96,Adenosine Triphosphate,Nghiên cứu cho thấy ATP có tiềm năng$1hồi phục da mạnh và làm dịu da rất tốt.,5,"[115, 133]","['Chất làm dịu da', 'Chất hồi phục da']"
136,178,Ammonium Polyacryldimethyltauramide,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
137,179,Ammonium Polyacryldimethyltauramide / Ammonium,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
66,93,Aqua,"Là thành phần mỹ phẩm được sử dụng phổ biến, nước gần như luôn luôn được liệt kê đầu tiên trong bảng thành phần trên một nhãn nguyên liệu vì nó thường là thành phần có nồng độ cao nhất trong công thức. Nước có thể không phải là một thành phần quan trọng cho da. Chỉ cần 10% nồng độ nước trong lớp ngoài của da là cần thiết cho sự mềm mại và tính dẻo dai trong phần này của lớp biểu bì. Các nghiên cứu so sánh hàm lượng nước trong da khô so với bình thường hoặc da nhờn không tìm thấy sự khác biệt có ý nghĩa thống kê về mức độ ẩm giữa chúng. Hơn nữa, nước quá nhiều có thể là một vấn đề đối với da bởi vì nó có thể phá vỡ các chất thiết yếu trong các lớp bề mặt của da mà giữ cho nó còn nguyên vẹn, mịn màng, và trông khỏe mạnh. Ví dụ, hãy nhớ lại da ngón tay bạn bị ""móp"" khi bạn tắm quá lâu",4,[128],['Hỗn hợp']
66,94,"Ammonium Cumenesulfonate, Ammonium Xylenesulfonate, Calcium Xylenesulfonate, Potassium Cumenesulfonate, Potassium Toluenesulfonate, Potassium Xylenesulfonate, Sodium Cumenesulfonate, Sodium Toluenesulfonate, Sodium Xylenesulfonate","Là thành phần mỹ phẩm được sử dụng phổ biến, nước gần như luôn luôn được liệt kê đầu tiên trong bảng thành phần trên một nhãn nguyên liệu vì nó thường là thành phần có nồng độ cao nhất trong công thức. Nước có thể không phải là một thành phần quan trọng cho da. Chỉ cần 10% nồng độ nước trong lớp ngoài của da là cần thiết cho sự mềm mại và tính dẻo dai trong phần này của lớp biểu bì. Các nghiên cứu so sánh hàm lượng nước trong da khô so với bình thường hoặc da nhờn không tìm thấy sự khác biệt có ý nghĩa thống kê về mức độ ẩm giữa chúng. Hơn nữa, nước quá nhiều có thể là một vấn đề đối với da bởi vì nó có thể phá vỡ các chất thiết yếu trong các lớp bề mặt của da mà giữ cho nó còn nguyên vẹn, mịn màng, và trông khỏe mạnh. Ví dụ, hãy nhớ lại da ngón tay bạn bị ""móp"" khi bạn tắm quá lâu",4,[128],['Hỗn hợp']
68,97,Acacia Farnesiana Extract,Hương liệu chiết xuất từ loại cây keo. Không có nghiên cứu nào cho thấy chất này có lợi cho da.,1,[124],['Chiết xuất thực vật']
68,98,Extract Of Acacia Farnesiana,Hương liệu chiết xuất từ loại cây keo. Không có nghiên cứu nào cho thấy chất này có lợi cho da.,1,[124],['Chiết xuất thực vật']
68,99,Acacia Extract,Hương liệu chiết xuất từ loại cây keo. Không có nghiên cứu nào cho thấy chất này có lợi cho da.,1,[124],['Chiết xuất thực vật']
68,100,Cacia Farnesiana Flower Extract,Hương liệu chiết xuất từ loại cây keo. Không có nghiên cứu nào cho thấy chất này có lợi cho da.,1,[124],['Chiết xuất thực vật']
69,101,Acer Saccharinum (Sugar Maple) Extract,"Chiết xuất Acer Saccharum (Đường Maple) là một chiết xuất của đường phong, Acer saccharinum.Chiết xuất đường Maple. Chiết xuất Acer Saccharum (Sugar Maple) hoạt động như một axit hydroxy alpha có nguồn gốc tự nhiên trong các sản phẩm chăm sóc da. Nó loại bỏ vi khuẩn và da chết tích tụ trên da, sửa chữa thiệt hại gây ra bởi các gốc tự do và ngăn ngừa nhược điểm mới và nếp nhăn hình thành.",4,"[118, 124, 133]","['Chất chống oxy hóa', 'Chiết xuất thực vật', 'Chất hồi phục da']"
70,102,Acer Saccharinum(Sugar Maple) Extract,"Chiết xuất Acer Saccharum (Đường Maple) là một chiết xuất của đường phong, Acer saccharinum.Chiết xuất đường Maple. Chiết xuất Acer Saccharum (Sugar Maple) hoạt động như một axit hydroxy alpha có nguồn gốc tự nhiên trong các sản phẩm chăm sóc da. Nó loại bỏ vi khuẩn và da chết tích tụ trên da, sửa chữa thiệt hại gây ra bởi các gốc tự do và ngăn ngừa nhược điểm mới và nếp nhăn hình thành.",4,"[118, 124, 133]","['Chất chống oxy hóa', 'Chiết xuất thực vật', 'Chất hồi phục da']"
71,103,Acetyl Dipeptide-1 Cetyl Ester,Đặc tính của peptide có tính ngậm nước và khả năng phục hồi da- Acetyl Dipeptide-1 Cetyl Ester là một sản phẩm thu được bằng cách kết hợp este acetyl của tyrosine từ Dipeptide-1 (q.v.) với este cetyl của arginine từ dipeptide-1,4,"[128, 132]","['Hỗn hợp', 'Chất dưỡng da']"
72,104,Acetyl Hexapeptide-1,acetyl hexapeptide-1 có tính ngậm nước và khả năng phục hồi da về mặt lý thuyết. Peptide không thể cho kết quả sánh ngang với phẩu thuật thẩm mỹ.,4,[133],['Chất hồi phục da']
74,106,Acetyl Tetrapeptide-9,acetyl hexapeptide-9 có tính ngậm nước và khả năng phục hồi da về mặt lý thuyết. Peptide không thể cho kết quả sánh ngang với phẩu thuật thẩm mỹ.,4,[133],['Chất hồi phục da']
75,107,Acetylated Glycol Stearate,được sử dụng làm chất dưỡng ẩm và làm dày kết cấu trong mỹ phẩm.,4,"[121, 137]","['Chất dưỡng ẩm', 'Chất nhũ hóa/làm dầy kết cấu sản phẩm']"
76,108,Achillea Millefolium Oil,"Achillea millefolium, thường được gọi là yarrow, yarrow có thể làm da nổi mẩn ngứa nghiêm trọng; sử dụng lâu dài có thể làm da tăng độ nhạy cảm với ánh sáng.",1,"[115, 124]","['Chất làm dịu da', 'Chiết xuất thực vật']"
77,109,Achillea Millefolium,"Achillea millefolium, thường được gọi là yarrow, yarrow có thể làm da nổi mẩn ngứa nghiêm trọng; sử dụng lâu dài có thể làm da tăng độ nhạy cảm với ánh sáng.",1,"[115, 124]","['Chất làm dịu da', 'Chiết xuất thực vật']"
78,110,Acrylamide/Sodium Acryloyldimethyltaurate Copolymer,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
79,111,Acrylates,"Khi thoa lên da, chúng để lại lớp màng, dính và phủ lên tóc hoặc da. lớp màng có tính ngậm nước và để lại cảm giác mịn màng trên da. Chất tạo màng có thể gây kích ứng da nhẹ, nhưng hầu như luôn phụ thuộc vào liều lượng sử dụng; nồng độ thấp không gây vấn đề.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
80,112,Acrylates Crosspolymer,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
81,113,Acrylates Crosspolymer-4,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
82,114,Acrylates/Ammonium Methacrylate Copolymer,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
84,116,Acrylates/C10 30 Alkyl Crosspolymer,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
85,117,Acrylates/C12-22 Alkyl Methacrylate Copolymer,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
86,118,Acrylic Acid Copolymer,được sử dụng để tạo kết cấu sản phẩm chăm sóc da và chăm sóc tóc. Cosmetic Ingredient Review đánh giá thành phần này là an toàn trong mỹ phẩm.,4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
87,119,Acrylic Acid/Vp Crosspolymer,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
88,120,Acryloyldimethyltaurate/Vp Copolymer,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
89,121,Actaea Racemosa,"Actaea racemosa (black cohosh, black bugbane, black snakeroot, fairy candle; syn. Cimicifuga racemosa) là loài thực vật có hoa thuộc họ Ranunculaceae. Không có nghiên cứu nào chứng minh rằng cohosh đen có bất kỳ tác dụng nào khi thoa lên da .",2,[124],['Chiết xuất thực vật']
